Latitude,Longitude,Voivodeship
52.3998009,20.3098219,Mazowieckie
51.7059008,17.1631455,Wielkopolskie
54.0671048,14.9738924,Zachodniopomorskie
51.490898,19.711661,Łódzkie
51.2151404,19.040778,Łódzkie
51.3536366,19.8923609,Łódzkie
50.0674523,20.7106687,Małopolskie
50.3213271,18.9261795,Śląskie
50.6907314,18.1978527,Opolskie
51.0986982,19.627275,Łódzkie
51.1797296,17.1999389,Dolnośląskie
52.3908282,17.0768111,Wielkopolskie
51.9069061,17.9865631,Wielkopolskie
51.1368532,20.1080458,Świętokrzyskie
52.2529611,17.7033582,Wielkopolskie
51.5936637,20.2899456,Łódzkie
49.9696757,19.0541623,Śląskie
53.291034,18.941022,Kujawsko-pomorskie
53.2449289,14.5039488,Zachodniopomorskie
50.5238898,20.1934681,Świętokrzyskie
50.9072768,18.6216362,Opolskie
51.3767722,19.368924,Łódzkie
50.3964072,19.2397127,Śląskie
51.4044586,19.7007519,Łódzkie
50.8650424,20.4114596,Świętokrzyskie
53.3531165,14.5759551,Zachodniopomorskie
50.8632884,18.287026,Opolskie
51.9503048,17.4866519,Wielkopolskie
52.0026313,16.5834926,Wielkopolskie
50.9153422,17.5212766,Opolskie
51.1381647,20.5601763,Świętokrzyskie
52.9714755,18.8829866,Kujawsko-pomorskie
53.5980361,19.5868666,Warmińsko-mazurskie
53.4929027,19.3900069,Warmińsko-mazurskie
54.4820082,17.4921358,Pomorskie
49.8636215,18.681439,Śląskie
52.0879236,16.1198717,Wielkopolskie
50.7007158,20.7582956,Świętokrzyskie
53.5517826,16.2327948,Zachodniopomorskie
52.3603903,16.8176065,Wielkopolskie
53.4414409,20.0356184,Warmińsko-mazurskie
50.2442582,20.7738016,Małopolskie
50.9736163,16.9331355,Dolnośląskie
53.7544975,19.2105793,Pomorskie
51.8934507,18.2986722,Wielkopolskie
53.9850531,14.7978509,Zachodniopomorskie
52.2625052,16.1401999,Wielkopolskie
50.3543166,18.9802108,Śląskie
50.1267672,18.8848794,Śląskie
53.1041632,20.1803154,Mazowieckie
